"series","timestamp","value","label"
"pressure","2024-07-14T19:21:08Z",995.20008,""
"pressure","2024-07-14T19:41:08Z",994.96103,""
"pressure","2024-07-14T20:01:08Z",994.98308,""
"pressure","2024-07-14T20:21:08Z",994.66484,""
"pressure","2024-07-14T20:41:08Z",994.50538,""
"pressure","2024-07-14T21:01:08Z",993.95433,""
"pressure","2024-07-14T21:21:08Z",993.89322,""
"pressure","2024-07-14T21:41:08Z",994.14626,""
"pressure","2024-07-14T22:01:08Z",994.34591,""
"pressure","2024-07-14T22:21:08Z",994.65757,""
"pressure","2024-07-14T22:41:08Z",995.109,""
"pressure","2024-07-14T23:01:08Z",993.66524,""
"pressure","2024-07-14T23:21:08Z",994.15408,""
"pressure","2024-07-14T23:41:08Z",994.35549,""
"pressure","2024-07-15T00:01:08Z",994.55679,""
"pressure","2024-07-15T00:21:08Z",995.88627,""
"pressure","2024-07-15T00:41:08Z",995.82199,""
"pressure","2024-07-15T01:01:08Z",995.66744,""
"pressure","2024-07-15T01:21:08Z",995.74098,""
"pressure","2024-07-15T01:41:08Z",995.87014,""
"pressure","2024-07-15T02:01:08Z",996.34331,""
"pressure","2024-07-15T02:21:08Z",996.52327,""
"pressure","2024-07-15T02:41:08Z",996.5835,""
"pressure","2024-07-15T03:01:08Z",996.74089,""
"pressure","2024-07-15T03:21:08Z",996.64763,""
"pressure","2024-07-15T03:41:08Z",996.57223,""
"pressure","2024-07-15T04:01:08Z",996.43465,""
"pressure","2024-07-15T04:21:08Z",996.36391,""
"pressure","2024-07-15T04:41:08Z",996.50884,""
"pressure","2024-07-15T05:01:08Z",996.26208,""
"pressure","2024-07-15T05:21:08Z",996.34485,""
"pressure","2024-07-15T05:41:08Z",996.13382,""
"pressure","2024-07-15T06:01:08Z",996.00476,""
"pressure","2024-07-15T06:21:08Z",995.82091,""
"pressure","2024-07-15T06:41:08Z",995.29485,""
"pressure","2024-07-15T07:01:08Z",995.1751,""
"pressure","2024-07-15T07:21:08Z",995.05063,""
"pressure","2024-07-15T07:41:08Z",994.9865,""
"pressure","2024-07-15T08:01:08Z",994.94877,""
"pressure","2024-07-15T08:21:08Z",994.97047,""
"pressure","2024-07-15T08:41:08Z",995.10247,""
"pressure","2024-07-15T09:01:08Z",995.30425,""
"pressure","2024-07-15T09:21:08Z",995.39758,""
"pressure","2024-07-15T09:41:08Z",995.473,""
"pressure","2024-07-15T10:01:08Z",995.50411,""
"pressure","2024-07-15T10:21:08Z",993.29685,""
"pressure","2024-07-15T10:41:08Z",997.02374,""
